Rank,Team,G,3rd Att,3rd Conv,Pct
1,Southern California,2,23,17,.739
2,Air Force,1,10,7,.700
3,TCU,2,25,17,.680
4,Ball St.,2,38,23,.605
5,Ole Miss,2,20,12,.600
-,Georgia Tech,2,30,18,.600
7,Tulsa,2,41,24,.585
8,Duke,2,36,21,.583
9,Texas,2,33,19,.576
10,Stanford,2,21,12,.571
11,Washington St.,2,34,19,.559
12,La.-Monroe,1,18,10,.556
-,San Diego St.,2,27,15,.556
14,Oregon,2,22,12,.545
15,Arkansas St.,1,13,7,.538
-,Wisconsin,2,26,14,.538
-,Clemson,2,26,14,.538
18,Colorado St.,3,42,22,.524
-,Army West Point,2,21,11,.524
20,UCLA,2,25,13,.520
21,Louisville,2,31,16,.516
22,Kansas St.,2,18,9,.500
-,Miami (FL),1,8,4,.500
-,Texas Tech,1,10,5,.500
-,Missouri,2,26,13,.500
-,Michigan St.,2,30,15,.500
27,Minnesota,2,31,15,.484
28,Vanderbilt,2,29,14,.483
29,Fresno St.,2,27,13,.481
-,South Carolina,2,27,13,.481
31,Louisiana,2,25,12,.480
-,Tennessee,2,25,12,.480
-,Oklahoma St.,2,25,12,.480
34,Texas A&M;,2,40,19,.475
35,New Mexico St.,2,36,17,.472
36,Miami (OH),2,34,16,.471
37,Navy,2,32,15,.469
38,Memphis,1,15,7,.467
-,SMU,2,30,14,.467
40,Appalachian St.,2,28,13,.464
-,Marshall,2,28,13,.464
42,Syracuse,2,41,19,.463
43,Arkansas,2,24,11,.458
44,LSU,2,22,10,.455
45,Virginia,2,42,19,.452
-,Hawaii,3,42,19,.452
47,UAB,2,31,14,.452
48,Toledo,2,29,13,.448
49,Ohio,2,27,12,.444
-,Oklahoma,2,18,8,.444
Rank,Team,G,3rd Att,3rd Conv,Pct
-,Wake Forest,2,27,12,.444
52,Ohio St.,2,34,15,.441
53,Mississippi St.,2,25,11,.440
54,Massachusetts,3,48,21,.438
-,UTSA,1,16,7,.438
56,Oregon St.,3,37,16,.432
57,FIU,2,28,12,.429
58,Pittsburgh,2,33,14,.424
-,Boise St.,2,33,14,.424
60,Old Dominion,2,31,13,.419
61,Western Ky.,2,29,12,.414
62,Arizona,2,27,11,.407
63,Tulane,2,25,10,.400
-,Houston,1,15,6,.400
-,NC State,2,30,12,.400
-,Arizona St.,2,30,12,.400
-,California,2,30,12,.400
68,East Carolina,2,33,13,.394
69,Utah St.,2,28,11,.393
-,Illinois,2,28,11,.393
-,Iowa,2,28,11,.393
72,UNLV,2,23,9,.391
73,Kent St.,2,31,12,.387
74,Troy,2,26,10,.385
-,North Carolina,2,26,10,.385
76,Colorado,2,29,11,.379
-,Iowa St.,2,29,11,.379
78,Northern Ill.,2,32,12,.375
79,Rutgers,2,35,13,.371
-,Indiana,2,35,13,.371
81,Nevada,2,27,10,.370
82,Washington,2,19,7,.368
83,Louisiana Tech,2,30,11,.367
84,Boston College,2,41,15,.366
85,Georgia St.,1,11,4,.364
-,Auburn,2,33,12,.364
87,Purdue,2,25,9,.360
-,Rice,2,25,9,.360
89,Akron,2,28,10,.357
-,UConn,1,14,5,.357
91,North Texas,2,26,9,.346
-,Kentucky,2,26,9,.346
93,West Virginia,2,32,11,.344
-,Eastern Mich.,2,32,11,.344
95,San Jose St.,3,50,17,.340
96,Kansas,2,33,11,.333
-,Michigan,2,33,11,.333
-,Southern Miss.,2,30,10,.333
-,Penn St.,2,21,7,.333
-,South Fla.,2,39,13,.333
Rank,Team,G,3rd Att,3rd Conv,Pct
101,Wyoming,2,31,10,.323
-,Temple,2,31,10,.323
103,Nebraska,2,28,9,.321
-,Utah,2,28,9,.321
105,Buffalo,2,25,8,.320
106,BYU,3,38,12,.316
107,Northwestern,2,29,9,.310
108,UCF,1,13,4,.308
-,Florida St.,1,13,4,.308
-,UTEP,2,26,8,.308
111,Notre Dame,2,30,9,.300
-,Cincinnati,2,30,9,.300
113,Maryland,2,17,5,.294
114,Charlotte,2,31,9,.290
-,Georgia,2,31,9,.290
116,Central Mich.,2,32,9,.281
117,Ga. Southern,2,33,9,.273
118,Idaho,2,26,7,.269
-,Alabama,2,26,7,.269
120,Baylor,2,23,6,.261
121,Fla. Atlantic,2,28,7,.250
-,Bowling Green,2,32,8,.250
123,Virginia Tech,2,26,6,.231
124,New Mexico,2,22,5,.227
125,Texas St.,2,29,6,.207
-,Western Mich.,2,29,6,.207
127,Florida,1,13,2,.154
128,Middle Tenn.,2,24,3,.125
129,South Ala.,2,20,2,.100
